# id;nombre;tipo;parametros
1;RegresionLineal;regresion;alpha=0.01
2;RegresionRidge;regresion;alpha=1.0
3;RegresionLasso;regresion;alpha=0.1
4;RedElastica;regresion;alpha=0.1;l1_ratio=0.5
5;ArbolDecisionRegresion;regresion;max_depth=5
6;BosqueAleatorioRegresion;regresion;n_estimators=100
7;GradienteBoostingRegresion;regresion;n_estimators=100
8;SVR;regresion;kernel=rbf
9;KNNRegresion;regresion;k=5
10;RegresionPolinomial;regresion;grado=2
11;RegresionLogistica;clasificacion;C=1.0
12;ArbolDecisionClasificacion;clasificacion;max_depth=5
13;BosqueAleatorioClasificacion;clasificacion;n_estimators=100
14;GradienteBoostingClasificacion;clasificacion;n_estimators=100
15;MaquinaVectoresSoporte;clasificacion;kernel=linear
16;KNNClasificacion;clasificacion;k=3
17;NaiveBayes;clasificacion;tipo=gaussiano
18;AdaBoost;clasificacion;n_estimators=50
19;XGBoost;clasificacion;max_depth=6
20;LightGBM;clasificacion;num_leaves=31
21;ExtraTrees;clasificacion;n_estimators=100
22;ClasificadorSGD;clasificacion;loss=hinge
23;Perceptron;clasificacion;eta0=0.01
24;RedNeuronalMLP;clasificacion;capas=100
25;Bagging;clasificacion;n_estimators=10
26;Stacking;clasificacion;modelos_base=3
27;Voting;clasificacion;voting=hard
28;BosqueAislamiento;anomalias;n_estimators=100
29;SVMUnaClase;anomalias;kernel=rbf
30;FactorOutlierLocal;anomalias;n_neighbors=20
